Título Original,Duración,Género,Sinopsis
Futatsume no mado (Still the Water),110,Drama,"Los habitantes de la isla de Amami, viven en armonía con la naturaleza, están convencidos de que en cada árbol, cada piedra y cada planta vive un dios. Una tarde de verano, Kaito descubre el cuerpo de un hombre flotando en el mar. Su amiga Kyoko le ayudará a descifrar el misterio. Crecerán juntos, aprendiendo a ser adultos, descubriendo los ciclos de la vida, la muerte y el amor.  (FILMAFFINITY)"
Lean on Pete,121,Drama,Charlie Thompson es un chico de quince años que consigue un empleo de verano trabajando para un entrenador de caballos e inicia una amistad con un debilitado caballo de carreras.
L'amant d'un jour (Lover for a Day),76,Drama,"Después de una ruptura, una chica de 23 años regresa a casa de su padre. Allí descubre que éste tiene una relación con una joven de su misma edad. (FILMAFFINITY)"
Palmer,110,Drama,"Tras doce años en prisión, Palmer, un ex jugador de fútbol, vuelve a casa para rehacer su vida. Mientras se adapta a su nueva realidad, entabla amistad con un niño abandonado, pero su pasado le persigue."
A Street Cat Named Bob,103,Drama,"Un día James Bowen, un músico callejero de Londres, se encuentra en su apartamento un gato herido abandonado al que llama Bob. Basado en un bestseller del propio James Bowen (""A Street Cat Named Bob, and How he Saved my Life"") que estuvo en Inglaterra 52 semanas consecutivas en la lista de los más vendidos. (FILMAFFINITY)"
Brigsby Bear,97,"Comedia, Drama","'Brigsby Bear Adventures' es un programa de televisión infantil que tiene un solo espectador: James. Cuando el programa termina de golpe, la vida de James cambia para siempre, y éste se propone terminar la historia él mismo. (FILMAFFINITY)"
In the Heights,143,"Musical, Romance, Drama, Comedia","Basado en el musical de Broadway, sigue a un grupo de vecinos del barrio Washington Heights, en Nueva York. El principal es Usnavi (Anthony Ramos), el simpático dueño de una bodega, criado por su abuela, que sueña con volver algún día a su República Dominicana de origen; la abuela Claudia, que desempeña el rol de abuela para muchos de los vecinos del barrio; Vanessa, de quien Usnavi está perdidamente enamorado; y Nina, una vieja amiga de Usnavi que regresa al barrio después de mucho tiempo, llevándole noticias inesperadas a sus padres, quienes han estado ahorrando toda la vida para darle una mejor educación académica de la que ellos tuvieron."
Remember,95,Drama,"Zev (Christopher Plummer) es un judío superviviente del Holocausto ya de 90 años y con alzheimer que busca a Rudy, un criminal de guerra nazi que fue responsable de la muerte de su familia, con el objetivo de asesinarlo. (FILMAFFINITY)"
‘71,99,"Acción, Drama","Corre el año 1971, y la tensión social en Irlanda del Norte está escalando hacia una situación casi de guerra civil. Tras un motín y un enfrentamiento muy violento entre vecinos de un barrio y el ejército, un joven soldado británico con poca experiencia, Gary, se extravía en las peligrosas calles de Belfast, donde el conflicto del IRA está en plena ebullición, y donde patrullan unidades paramilitares y bandas radicales callejeras. (FILMAFFINITY)"
Loreak,99,Drama,"La vida de Ane da un giro cuando semanalmente comienza a recibir de forma anónima un ramo de flores en su casa. Por su parte las vidas de Lourdes y Tere también se ven afectadas por unas misteriosas flores. Un desconocido deposita cada semana un ramo en memoria de alguien que fue importante en sus vidas. Esta es la historia de tres mujeres, tres vidas alteradas por la mera presencia de unas flores. Flores que harán brotar en ellas sentimientos que parecían olvidados… Pero al fin y al cabo, no son más que flores. (FILMAFFINITY)"
Queen of Katwe,124,Drama,"Biopic de Phiona Mutesi, una joven ugandesa prodigio del ajedrez. Con 11 años ganó el campeonato juvenil de su país. Poco después pudo salir por primera vez de Uganda para ir a un torneo en Sudán. Y llegó a competir en la Olimpiada Mundial de la disciplina. (FILMAFFINITY)"
Kkeut-kkaji ganda,111,"Thriller, Drama, Acción","Volviendo del entierro de su madre, el agente Gun-Su atropella a alguien. Aturdido, decide esconder el cadáver en la tumba de su madre. Los problemas, sin embargo, no quedan enterrados: uno de sus compañeros investiga a la víctima y un testigo no tardará en aparecer. (FILMAFFINITY)"
X+Y,111,Drama,"En un mundo difícil de comprender, Nathan se esfuerza por conectar con los que le rodean -sobre todo con su madre-, pero lo cierto es que sólo encuentra verdadero consuelo en los números. Un día se encuentra con un profesor anárquico y poco convencional, el Sr. Humphreys, cuando Nathan se incorpora al equipo del Reino Unido para competir en las Olimpiadas Internacionales de matemáticas en Taipei. Ambos formarán una inusual y especial amistad. (FILMAFFINITY)"
Grâce à Dieu,137,Drama,"Alexandre vive en Lyon con su esposa e hijos. Por casualidad, se entera de que el sacerdote que abusó de él cuando era un boy scout sigue trabajando con niños. Se lanza a un combate al que se unen François y Emmanuel, otras víctimas del sacerdote, con el fin de liberarse de sus sufrimientos a través de la palabra. Pero las repercusiones y consecuencias de sus testimonios no dejarán a nadie indemne. Basada en el caso real de Bernard Preynat, sacerdote de la Diócesis de Lyon, acusado en 2016 de abusar sexualmente de decenas de niños. (FILMAFFINITY)"
Entre dos aguas,136,Drama,"Isra y Cheíto son dos hermanos que han tomado caminos muy diferentes en la vida. Cuando Isra sale de la cárcel y Cheíto termina una larga misión enrolado en la Marina, ambos regresan a la Isla de San Fernando. El reencuentro de los hermanos renovará el recuerdo de la muerte violenta de su padre cuando eran niños; la necesidad de retomar sus vidas y reconciliarse con ellos mismos les unirá de nuevo. Doce años después de “La Leyenda del Tiempo”, Isaki Lacuesta vuelve a San Fernando."
Broker,129,Drama,"Una noche lluviosa una joven abandona a su bebé a las puertas de una iglesia. El recién nacido es recogido por dos hombres que se dedican a robar bebés abandonados para venderlos a padres dispuestos a pagar una tarifa. Cuando la joven regresa a la iglesia, arrepentida, descubre el negocio ilegal de ambos hombres y decide unirse a ellos para encontrar a los padres adoptivos más adecuados. En este inusual viaje por carretera, el destino de los que se crucen en la vida del niño cambiará radicalmente. (FILMAFFINITY)"
Salyut-7,119,"Aventuras, Drama","Narra la historia de la recuperación de la estación espacial Salyut 7, llevada a cabo por dos cosmonautas rusos en 1985. (FILMAFFINITY)"
Los días que vendrán,94,"Drama, Romance","Vir (30) y Lluís (32) hace solo un año que salen juntos, cuando descubren que están “embarazados”. Durante 9 meses, seguiremos la aventura de esta joven pareja barcelonesa, el giro enorme que dará su vida, sus miedos, alegrías, sus expectativas y las realidades que, durante su embarazo, crecen ante ellos, intentando aprender a ser tres cuando ni siquiera habían tenido tiempo de aprender a ser dos. Utilizando el embarazo real de la pareja de actores protagonistas, la película explora la dificultad de compartir con el otro la experiencia profundamente transformadora de este proceso."
The Sea Beast,115,"Animación, Aventuras, Fantástico",Una niña intrépida y un famoso cazador de monstruos marinos unen sus fuerzas para encontrar a una poderosa bestia. (FILMAFFINITY)
Techo y comida,90,Drama,"Jerez de la Frontera, 2012. Rocío, una madre soltera y sin trabajo, no recibe ningún tipo de ayuda ni subsidio. Vive con a su hijo de ocho años en un piso cuyo alquiler no paga desde hace meses, de modo que el dueño la amenaza continuamente con echarla a la calle. Para hacer frente a los gastos de manutención y alquiler, realiza trabajos ocasionales mal pagados y vende en el top manta objetos encontrados. (FILMAFFINITY)"
Selma,123,Drama,"Esta crónica sobre la lucha del político y activista Dr. Martin Luther King Jr. (David Oyelowo) en defensa de los derechos civiles se centra en la marcha desde Selma a Montgomery, Alabama, en 1965, que llevó al presidente Lyndon B. Johnson (Tom Wilkinson) a aprobar la ley sobre el derecho al voto de los ciudadanos negros. (FILMAFFINITY)"
How To Train Your Dragon: The Hidden World,104,"Animación, Aventuras, Comedia","Lo que comenzó como la inesperada amistad entre un joven vikingo y un temible dragón Furia Nocturna se ha convertido en una épica trilogía que ha recorrido sus vidas. En esta nueva entrega, Hipo y Desdentao descubrirán finalmente su verdadero destino: para uno, gobernar Isla Mema junto a Astrid; para el otro, ser el líder de su especie. Pero, por el camino, deberán poner a prueba los lazos que los unen, plantando cara a la mayor amenaza que jamás hayan afrontado... y a la aparición de una Furia Nocturna hembra. (FILMAFFINITY)"
The Book Thief,131,Drama,"Narra la historia de una animosa y valerosa jovencita llamada Liesel, que transforma las vidas de todas las personas de su entorno cuando la envían a vivir con una familia de acogida en la Alemania de la II Guerra Mundial. Para Liesel, el poder de las palabras y de la imaginación se convierte en una forma de escapar de los tumultuosos eventos que la rodean, tanto a ella como a toda la gente que conoce y quiere. (FILMAFFINITY)"
Lady Bird,94,"Comedia, Drama","Christine (Saoirse Ronan), que se hace llamar ""Lady Bird"", es una adolescente de Sacramento en su último año de instituto. La joven, con inclinaciones artísticas y que sueña con vivir en la costa Este, trata de ese modo encontrar su propio camino y definirse fuera de la sombra protectora de su madre (Laurie Metcalf). (FILMAFFINITY)"
Finding Dory,103,"Animación, Aventuras, Comedia","Un año después de los acontecimientos narrados en ""Buscando a Nemo"", Dory vive  apaciblemente con Marlin y su hijo Nemo. Pero durante un viaje para ver cómo las mantarrayas migran de vuelta a casa, los problemas de memoria de Dory parecen desaparecer durante un segundo: recuerda que tiene una familia e inmediatamente decide emprender viaje para reencontrarse con sus padres, a los que perdió hace años. (FILMAFFINITY)"
L'immortale,115,Thriller,"La historia de Ciro Di Marzio, uno de los protagonistas de la serie ""Gomorra"". Es 1980, la tierra tiembla, el edificio se derrumba y el único que sobrevive es un bebé recién nacido: se llama Ciro Di Marzio pero, a partir de ese día, todos lo llamarán 'el Inmortal'. Desde Nápoles en los años 80 hasta un pasado reciente, la película cuenta los orígenes y la formación de uno de los personajes más queridos de la aclamada serie sobre la camorra napolitana. Desde su infancia en la calle hasta el contrabando, desde los primeros robos hasta los muertos asesinados: todo para sobrevivir en un mundo donde la inmortalidad es básicamente una condena... Dirigida por el propio actor Marco D'Amore. (FILMAFFINITY)"
La Chute de l'empire américain,128,"Comedia, Drama","Pierre-Paul, de 36 años, un intelectual y doctor en filosofía se ve obligado a trabajar como repartidor para tener un salario decente. Un día, mientras entrega un paquete, se topa con la escena de un robo a mano armada que ha salido mal con un resultado de dos muertos. Se encuentra con dos bolsas de deporte repletas de billetes. Pierre-Paul se enfrenta a un dilema: largarse con las manos vacías o coger el dinero y huir... Sucesora temática de las películas de Denys Arcand 'El declive del imperio americano' y 'Las invasiones bárbaras'. (FILMAFFINITY)"
Umi yori mo mada fukaku,117,Drama,"A pesar de haber empezado una prometedora carrera de escritor, Ryota va de desilusión en desilusión. Se ha divorciado de Kyoko y gasta todo el dinero que gana como detective privado apostando en las carreras, por lo que finalmente no puede pagar la pensión alimentaria de su hijo de 11 años, Shingo. Ahora Ryota intenta ganarse nuevamente la confianza de sus seres queridos y formar parte de la vida de su hijo. La situación no parece fácil, pero un día un tifón obliga a toda la familia a pasar una noche juntos… (FILMAFFINITY)"
La French (The Connection),135,"Thriller, Drama","1975. Pierre Michel es un joven magistrado que acaba de ser trasladado a Marsella para colaborar en la lucha contra el crimen organizado. Se trata de desactivar la French Connection, una operación de la mafia que exporta heroína a todo el mundo. Sin escuchar las advertencias, Pierre lidera una cruzada contra Gaëtan Zampa, el padrino más intocable. Pero pronto va a entender que para obtener resultados, deberá cambiar sus métodos. (FILMAFFINITY)"
Blue Jay,85,"Drama, Romance","Jim y Amanda se encuentran por casualidad en su pueblo natal de Crestline en California después de veinte años sin verse. Él está allí porque su madre ha fallecido y tiene que poner su casa a la venta; ella está visitando a su hermana porque está embarazada. Los dos tienen muchas cosas que contar así que deciden ir a una cafetería para ponerse al día. A pesar de haber seguido caminos distintos, vuelven a conectar como si nada hubiera cambiado. Cuando llegan a la que fue la casa de Jim, la ex pareja se ve transportada al pasado y a los increíbles momentos que vivieron juntos. (FILMAFFINITY)"
Una mujer fantástica,104,Drama,"Marina (Daniela Vega) una joven camarera aspirante a cantante y Orlando (Francisco Reyes), veinte años mayor, planean un futuro juntos. Tras una noche de fiesta, Marina lo lleva a urgencias, pero él muere al llegar al hospital. Ella debe entonces enfrentar las sospechas por su muerte. Su condición de mujer transexual supone para la familia de Orlando una completa aberración. Ella tendrá que luchar para convertirse en lo que es: una mujer fuerte, pasional... fantástica. (FILMAFFINITY)"
100 metros,108,"Drama, Comedia","Ramón, padre de familia treintañero, vive para el trabajo hasta que su cuerpo empieza a fallar. Diagnosticado de esclerosis múltiple, todos los pronósticos parecen indicar que en un año no será capaz de caminar ni cien metros. Ramón decide entonces plantarle cara a la vida participando en la prueba deportiva más dura del planeta. Con la ayuda de su mujer y el gruñón de su suegro, Ramón inicia un peculiar entrenamiento en el que luchará contra sus limitaciones, demostrándole al mundo que rendirse nunca es una opción... Inspirada en la historia de Ramón Arroyo, un joven diagnosticado de esclerosis al que le dijeron que no sería capaz de caminar ni cien metros. (FILMAFFINITY)"
Dungeons & Dragons: Honor Among Thieves,128,"Fantástico, Aventuras, Comedia","Un ladrón encantador y una banda de aventureros increíbles emprenden un atraco épico para recuperar una reliquia perdida, pero las cosas salen rematadamente mal cuando se topan con las personas equivocadas. Adaptación cinematográfica del primer juego de rol de la historia, publicado por primera vez en 1974."
Last Night in Soho,118,"Thriller, Terror, Fantástico","Thriller psicológico sobre una joven apasionada por la moda que, misteriosamente, es capaz de trasladarse a los años 60 y conocer a su ídolo, una deslumbrante aspirante a cantante. Pero el Londres de la época no es lo que parece y el tiempo parece desmoronarse con oscuras consecuencias..."
Carmina y amén.,100,"Comedia, Drama","Tras la súbita muerte de su marido, Carmina convence a su hija María de no dar parte de la defunción hasta pasados dos días y así poder cobrar la paga extra que él tenía pendiente. Durante esos dos días esconden el cadáver y disimulan su duelo en la cotidianidad de un bloque de pisos de un barrio humilde de Sevilla. (FILMAFFINITY)"
The Killing of a Sacred Deer,121,"Thriller, Drama","Steven es un eminente cirujano casado con Anna, una respetada oftalmóloga. Viven felices junto a sus dos hijos, Kim y Bob. Cuando Steven entabla amistad con Martin, un chico de dieciséis años huérfano de padre, a quien decide proteger, los acontecimientos dan un giro siniestro. Steven tendrá que escoger entre cometer un impactante sacrificio o arriesgarse a perderlo todo. (FILMAFFINITY)"
The Lighthouse,110,"Drama, Fantástico, Terror",Una remota y misteriosa isla de Nueva Inglaterra en la década de 1890. El veterano farero Thomas Wake (Willem Dafoe) y su joven ayudante Ephraim Winslow (Robert Pattinson) deberán convivir durante cuatro semanas. Su objetivo será mantener el faro en buenas condiciones hasta que llegue el relevo que les permita volver a tierra. Pero las cosas se complicarán cuando surjan conflictos por jerarquías de poder entre ambos. (FILMAFFINITY)
Avatar: The Way of Water,192,"Ciencia ficción, Aventuras, Fantástico, Acción","Más de una década después de los acontecimientos de 'Avatar', los Na'vi Jake Sully, Neytiri y sus hijos viven en paz en los bosques de Pandora hasta que regresan los hombres del cielo. Entonces comienzan los problemas que persiguen sin descanso a la familia Sully, que decide hacer un gran sacrificio para mantener a su pueblo a salvo y seguir ellos con vida. (FILMAFFINITY)"
The Lobster,118,"Ciencia ficción, Drama, Romance","Narra una historia de amor no convencional, ambientada en un mundo distópico, en el que según las reglas establecidas, los solteros son arrestados y enviados a un lugar donde tienen que encontrar pareja en un plazo de 45 días. El tema central es la soledad, el temor a morir solo, a vivir solo, y también al temor a vivir con alguien. (FILMAFFINITY)"
A Star Is Born,135,"Drama, Romance","Jackson Maine (Bradley Cooper) es una estrella consagrada de la música que una noche conoce y se enamora de Ally (Lady Gaga), una joven artista que lucha por salir adelante en el mundo del espectáculo. Justo cuando Ally está a punto de abandonar su sueño de convertirse en cantante, Jack decide ayudarla en su carrera hacia la fama. Pero el camino será más duro de lo que imagina. (FILMAFFINITY)"
Captain America: The Winter Soldier,136,"Acción, Thriller","Tras los devastadores acontecimientos acaecidos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América, vive tranquilamente en Washington D.C. intentando adaptarse al mundo moderno. Pero cuando atacan a un colega de S.H.I.E.L.D., Steve se ve envuelto en una trama de intrigas que representa una amenaza para el mundo. Se unirá entonces a la Viuda Negra para desenmascarar a los conspiradores. Cuando por fin descubren la magnitud de la trama, se unirá a ellos el Halcón. Los tres tendrán que enfrentarse a un enemigo inesperado y extraordinario: el Soldado de Invierno. (FILMAFFINITY)"
Dawn of the Planet of the Apes,130,"Ciencia ficción, Acción","Tras la aparición del devastador ""virus de los simios"" desarrollado en un laboratorio y que casi acabó con los humanos, un grupo de simios muy evolucionados, capitaneados por César, se han convertido en la raza dominante del planeta. La única amenaza para su desarrollo la representa un grupo de seres humanos que han sobrevivido al virus, al que ahora son inmunes. Los hombres necesitan la energía de una presa cerca del asentamiento de lo simios, así que César, siempre razonable y buscando el bien de los suyos, firma una tregua de paz que evite estallar una guerra que determinará cuál será la raza dominante... Secuela de la película ""El origen del planeta de los simios"". (FILMAFFINITY)"
Sieranevada,173,"Drama, Comedia","Tres días después del atentado contra Charlie Hebdo y cuarenta días después de la muerte de su padre, Lary –40 años, médico– va a pasar el sábado con su familia, reunida en memoria del difunto. El evento, sin embargo, no se desarrolla como estaba previsto. Obligado a afrontar sus miedos y su pasado y forzado a reconsiderar el lugar que ocupa dentro de la familia, Lary tendrá que decir su verdad. (FILMAFFINITY)"
A Prayer Before Dawn,116,"Acción, Drama","Basada en la experiencia vivida por el joven británico Billy Moore, que sobrevivió a una dura experiencia en una cárcel en Tailandia convirtiéndose dentro en boxeador en la versión de artes marciales Muay Thai -boxeo tailandés-. (FILMAFFINITY)"
La Mort de Louis XIV,111,Drama,"Año 1715. En el retorno a casa, Luis XIV siente un dolor agudo en la pierna. Quince días más tarde, se encuentra en cama en Versalles. Este es el comienzo de la lenta agonía del rey más grande de Francia, rodeado de sus más fieles súbditos. (FILMAFFINITY)"
Le chagrin des oiseaux (Timbuktu),97,Drama,"Año 2012, la ciudad maliense de Tombuctú ha caído en manos de extremistas religiosos. Kidane vive tranquilamente en las dunas con su esposa Satima, su hija Toya e Issam, un niño pastor de 12 años. Pero en la ciudad los habitantes padecen el régimen de terror impuesto por los yihadistas: prohibido escuchar música, reír, fumar e incluso jugar al fútbol. Las mujeres se han convertido en sombras que intentan resistir con dignidad. Cada día, unos tribunales islamistas improvisados lanzan sentencias tan absurdas como trágicas. El caos que reina en Tombuctú no parece afectar a Kidane hasta el día en que accidentalmente mata a Amadou, un pescador que ha acabado con la vida de su vaca favorita. Ahora debe enfrentarse a las leyes impuestas por los ocupantes extranjeros. (FILMAFFINITY)"
Doragon bôru chô: Burorî,100,"Animación, Ciencia ficción, Acción","La Tierra disfruta en paz la celebración de el Torneo del Poder.  Sin embargo, Goku es consciente de que existen enemigos aún por descubrir en el Universo, por lo que sigue entrenando sin descanso para alcanzar cotas de poder nunca antes conocidas en un superguerrero. Confirmando sus peores temores, un día aparece un supersayano que responde al nombre de ""Broly"", un poderoso guerrero que debería de haber sido eliminado junto con el planeta Vegeta cuando éste fue destruído hace ya algunas décadas. ¿Cómo ha podido sobrevivir un guerrero de tal poder? La situación no deja de empeorar cuando el mismísimo Frieza vuelve desde el Infierno para verse envuelto en un terrible mix que llevará a los héroes a luchar por salvar el planeta Tierra una vez más. (FILMAFFINITY)"
Aus dem Nichts,102,Drama,"La vida de Katja se hunde cuando su marido y su hijo mueren en un atentado. Tras el duelo y la injusticia, llegará el tiempo de la venganza. (FILMAFFINITY)"
Bone Tomahawk,133,"Western, Terror","A la localidad de Bright Hope llega un forastero que rápidamente despierta las sospechas del sheriff, que termina por arrestarlo tras dispararle en la pierna. Samantha O'Dwyer se encarga de extraerle la bala en el calabozo. Pero esa noche un joven en un establo es asesinado y el ayudante del sheriff, la Sra. O'Dwyer y el detenido han desaparecido. Siguiendo la única pista que tiene, una flecha india, el sheriff buscará a la joven con la ayuda de algunos hombres, entre ellos un vaquero y un anciano. (FILMAFFINITY)"
Okja,118,"Fantástico, Aventuras, Drama","Durante diez idílicos años, la pequeña Mija (An Seo Hyun) ha sido la cuidadora y compañera de Okja, un gigantesco cerdo, en su granja de la montaña, en Corea del Sur. Pero todo cambiará cuando la gran multinacional familiar Mirando Corporation se intente llevar a Okja a Nueva York, donde la narcisista y egocéntrica Lucy Mirando (Tilda Swinton) tiene otros planes para la mejor amiga de Mija."
Sully,96,Drama,"Chesley “Sully” Sullenberger es un piloto aéreo que en 2009 se convirtió en un héroe cuando, al poco de despegar, su avión se averió y logró realizar un aterrizaje forzoso del aparato en pleno río Hudson, en Nueva York, con 155 pasajeros a bordo. (FILMAFFINITY)"
Kokoro ga sakebitagatterunda,115,"Animación, Drama","A causa de una mala experiencia cuando era pequeña, Jun siente un intenso dolor de estómago cada vez que intenta hablar, así que depende del e-mail y de la mensajería del móvil para comunicarse con los demás. Las cosas empiezan a cambiar cuando su tutor la incluye en un grupo de trabajo para elaborar un musical. (FILMAFFINITY)"
Hive,84,Drama,"En un pueblo muy unido de Kosovo, las familias luchan para llegar a final de mes, ansiosas por recibir noticias de los maridos, padres e hijos que fueron a la guerra. Cuando las abejas de Fahrije dejan de producir miel, decide sacarse el carnet de conducir y se aventura a la ciudad para vender ajvar casero en una tienda de comestibles local. Su ingenuidad y ambición ponen a prueba a los habitantes de un pueblo conservador por naturaleza en el que siguen vigentes las nociones patriarcales y tradicionales de la sociedad. Para poder sobrevivir tiene que superar los insultos y los ataques físicos que tratan de impedir por todos los medios que la mujer pueda valerse por sí misma. (FILMAFFINITY)"
Die göttliche Ordnung,96,Drama,"En 1971, las mujeres todavía no podían votar en Suiza. Nora es una joven ama de casa y madre de dos hijos que vive en un pequeño y pintoresco pueblo donde las noticias de las protestas por los derechos civiles, la revolución sexual y los movimientos contraculturales apenas son un tema de discusión. Nora es una persona tranquila que cuenta con la simpatía de todos. Pero cuando su marido le prohíbe aceptar un trabajo a tiempo parcial, la frustración la lleva a comenzar a luchar públicamente por el sufragio femenino. Su nueva fama conlleva amenazas y el posible fin de su matrimonio, pero ella se niega a dar marcha atrás, y convence a las mujeres del pueblo para ir a la huelga mientras descubre aspectos sobre su propia liberación. Las tranquilas vidas de sus vecinos se verán afectadas por completo. (FILMAFFINITY)"
Dangsinjasingwa dangsinui geot,86,"Romance, Drama, Comedia","El pintor Young-soo se entera de que su novia, Min-jung, se tomó unas copas con otro hombre y se peleó con él. Esa noche discuten y Min-jung sale de casa, diciendo que no deberían verse durante algún tiempo. Al día siguiente, Young-soo va en su busca, pero no consigue encontrarla. Mientras tanto, en Yeon-nam, donde él vive, Min-jung, o una mujer que es idéntica a ella, tiene citas con distintos hombres. Young-soo vaga por las calles y lucha consigo mismo, que es lo mismo que luchar contra el mundo. (FILMAFFINITY)"
The Hate U Give,129,Drama,"Starr Carter oscila constantemente entre dos mundos: el barrio pobre, en su mayoría afroamericano, donde vive, y la escuela preparatoria rica, en su mayoría blanca, a la que asiste. Este equilibrio incómodo entre esos mundos se hace añicos cuando Starr es testigo de la muerte de su amigo de la infancia, Khalil, a manos de un oficial de policía. Ante las presiones de la comunidad, Starr deberá encontrar su voz y defender lo que cree que es correcto. (FILMAFFINITY)"
Plemya (The Tribe),130,Drama,"Un adolescente sordomudo ingresa en un internado especial donde, para sobrevivir, tiene que formar parte de una organización salvaje, ""la tribu"", dedicada a todo tipo de actos delictivos. Su amor por una de las concubinas del líder lo llevará a desafiar las reglas no escritas en la jerarquía de la banda. Una película que no precisa de doblaje ni subtítulos, donde toda la comunicación es mediante el lenguaje de signos. Porque el amor y el odio no necesitan traducción. (FILMAFFINITY)"
Mita Tova (The Farewell Party),95,"Drama, Comedia","En una residencia de ancianos de Jerusalén, un grupo de amigos construye una máquina para practicar la eutanasia con el fin de ayudar a un amigo enfermo terminal. Pero cuando se extienden los rumores sobre la máquina, otros ancianos les pedirán  ayuda, lo que les plantea un dilema emocional y los implica en una aventura disparatada.  (FILMAFFINITY)"
Un sac de billes,110,Drama,"Segunda Guerra Mundial. Maurice y Joseph son dos jóvenes hermanos judíos que viven en la Francia ocupada por los nazis. Para salvarse, deberán abandonar a su familia. Haciendo muestra de una gran astucia, coraje e ingenio para sortear a los invasores enemigos, los dos hermanos intentarán reunir a toda su familia de nuevo en la zona libre del sur de Francia. (FILMAFFINITY)"
Unicorn Wars,91,"Animación, Fantástico, Terror, Bélico","El ejército osito adoctrina a jóvenes reclutas para la guerra que libran contra los unicornios y amenaza la seguridad del pueblo osito. Los hermanos Azulín y Gordi, junto a un inexperto grupo de reclutas, serán enviados a una peligrosa misión para salvar el Bosque Mágico."
Ema,102,Drama,"Ema, una joven bailarina, decide separarse de Gastón luego de entregar a Polo en adopción, el hijo que ambos habían adoptado y que fueron incapaces de criar. Desesperada por las calles del puerto de Valparaíso, Ema busca nuevos amores para aplacar la culpa. Sin embargo, ese no es su único objetivo, también tiene un plan secreto para recuperarlo todo. (FILMAFFINITY)"
Starred Up,106,Drama,Eric Love es un adolescente problemático que ha sido transferido de forma prematura de un instituto de jóvenes delincuentes a una prisión para adultos.
En los márgenes,105,"Drama, Thriller","La cuenta atrás de tres personajes, con senda historias entrelazadas, que tratan de mantenerse a flote y sobrevivir a 24 horas claves que pueden cambiar el curso de sus vidas. El film explora el efecto que una situación de estrés económico tiene sobre las relaciones personales, y cómo el afecto y la solidaridad pueden ser un motor para salir adelante."
Palm Springs,90,"Comedia, Romance, Fantástico","Cuando el desenfadado Nyles y su reticente dama de honor Sarah tienen la oportunidad de encontrarse en una boda de Palm Springs, las cosas se complican al verse incapaces de escapar del lugar y el uno del otro. (FILMAFFINITY)"
Bullet Train,126,"Acción, Thriller, Comedia",Cinco asesinos a sueldo se encuentran a bordo de un tren bala que viaja de Tokio a Morioka con unas pocas paradas intermedias. Descubren que sus misiones no son ajenas entre sí. La pregunta es quién saldrá vivo del tren y qué les espera en la estación final. (FILMAFFINITY)
Stoker,98,"Intriga, Thriller","Cuando India Stoker (Mia Wasikowska), una adolescente, pierde a su padre (Dermot Mulroney) en un trágico accidente de coche el día en que cumple 18 años, su vida se hace añicos. Su impasible comportamiento oculta profundos sentimientos que sólo su padre comprendía. Su tío Charlie (Matthew Goode), cuya existencia desconocía, aparece por sorpresa en el funeral y decide quedarse una temporada en casa de India y de su inestable madre (Nicole Kidman). Aunque al principio desconfía de él, pronto se da cuenta de que tienen mucho en común. Debut en EEUU del director coreano Park Chan-wook (Old Boy). (FILMAFFINITY)"
Hereditary,126,Terror,"Cosas extrañas comienzan a suceder en casa de los Graham tras la muerte de la abuela y matriarca, que deja en herencia su casa a su hija Annie. Annie Graham, una galerista casada y con dos hijos, no tuvo una infancia demasiado feliz junto a su madre, y cree que la muerte de ésta puede hacer que pase página. Pero todo se complica cuando su hija menor comienza a ver figuras fantasmales, que también empiezan a aparecer ante su hermano. (FILMAFFINITY)"
Fury,128,"Bélico, Acción","Abril de 1945, la guerra está a punto de acabar. Al mando del veterano sargento Wardaddy (Brad Pitt), una brigada de cinco soldados americanos a bordo de un tanque -el Fury- ha de luchar contra un ejército nazi al borde de la desesperación, pues los alemanes saben que su derrota estaba ya cantada por aquel entonces. (FILMAFFINITY)"
R.M.N.,125,Drama,"Unos días antes de Navidad, Matthias vuelve a su pueblo natal, una localidad multiétnica de Transilvania, tras dejar su trabajo en Alemania. Está preocupado por su hijo, Rudi, que ha crecido sin él, y por su padre, Otto, que se había quedado solo, y desea volver a ver a Csilla, su exnovia. Trata de implicarse más en la educación del niño, que ha pasado demasiado tiempo a cargo de su madre, Ana, y quiere ayudarle a superar sus miedos irracionales. Cuando la fábrica que Csilla dirige decide contratar a empleados extranjeros, la paz de esta pequeña comunidad se verá perturbada, y las inquietudes afectarán también a los adultos. Las frustraciones, los conflictos y las pasiones volverán a aflorar, rompiendo la paz aparente de la comunidad. (FILMAFFINITY)"
She Said,129,Drama,"En 2017 dos reporteras del New York Times, Megan Twohey y Jodi Kantor, publicaron una investigación periodística sobre los abusos sexuales del famoso productor Harvey Weinstein que desencadenó el movimiento #Metoo en todo el mundo y rompió décadas de silencio sobre el tema de las agresiones sexuales en Hollywood."
