Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
Avril y el mundo alterado,Avril et le monde truqué,2015,90,"Animación, Aventuras, Ciencia ficción, Intriga, Comedia",Francia,"6,6",1.044,"Christian Desmares, Franck Ekinci","Marion Cotillard, Philippe Katerine, Jean Rochefort, Olivier Gourmet, Marc-André Grondin, Bouli Lanners","La acción nos lleva a un París alternativo gobernado por Napoleón VI, en el que la joven April y su gato Darwin intentan encontrar a su familia, secuestrada hace diez años en el marco de una extraordinaria conspiración. (FILMAFFINITY)",https://www.filmaffinity.com/es/film182143.html
Mad God,Mad God,2021,83,"Animación, Terror, Ciencia ficción",Estados Unidos,"6,6",1.109,Phil Tippett,"Alex Cox, Niketa Roman, Satish Ratakonda, Harper Taylor, Brynn Taylor",Tippett -maestro de los efectos especiales con dos Premios Oscar por El retorno del Jedi y Parque Jurásico- cuenta una pesadilla en stop-motion que ha tardado treinta años en completarse. (FILMAFFINITY),https://www.filmaffinity.com/es/film866109.html
En buenas manos,Pupille,2018,107,Drama,Francia,"6,6",1.284,Jeanne Herry,"Sandrine Kiberlain, Gilles Lellouche, Elodie Bouchez, Olivia Côte, Clotilde Mollet, Jean-François Stévenin, Bruno Podalydès, Miou-Miou","Theo acaba de nacer. Después de dar a luz, su madre biológica le entrega a un programa de adopción. Los servicios de adopción deben encontrar entonces a la que se convertirá en su madre adoptiva. En el otro extremo, Alice (Élodie Bouchez), de 41 años, lleva casi diez años luchando por ser madre. Un grupo de profesionales trabajará para que Theo y Alice puedan reunirse. (FILMAFFINITY)",https://www.filmaffinity.com/es/film655026.html
El asesinato de dos amantes,The Killing of Two Lovers,2020,85,Drama,Estados Unidos,"6,6",1.397,Robert Machoian,"Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto, Barbara Whinnery, Ezra Graham, Arri Graham, Jonah Graham, Bruce Graham","David intenta desesperadamente mantener unida a su familia después de separarse de su esposa. Ambos acuerdan poder salir con otras personas, pero David lucha por asumir la nueva relación de pareja de su ex. (FILMAFFINITY)",https://www.filmaffinity.com/es/film142428.html
El hijo de Jean,Le fils de Jean,2016,98,Drama,Francia,"6,6",1.805,Philippe Lioret,"Pierre Deladonchamps, Gabriel Arcand, Catherine de Léan, Jean-Pierre Andréani, Christopher Atallah, Caroline Bizier-Brière, Tania Bolduc, Anne-Valérie Bouchard","Mathieu tiene 33 años y vive con la incógnita de no haber conocido a su padre. Su madre siempre le dijo que fue fruto de una aventura de una noche. Una mañana, en su apartamento de París, recibe una llamada desde Canadá, de un desconocido que dice ser amigo de su padre y le informa de que éste ha fallecido, y que le quiere enviar lo que le ha dejado en herencia: un cuadro. Movido por la curiosidad, decide viajar a Montreal. (FILMAFFINITY)",https://www.filmaffinity.com/es/film384997.html
Largo viaje hacia la noche,Di qiu zui hou de ye wan (Long Day's Journey Into Night),2018,133,"Drama, Intriga",China,"6,6",2.139,Bi Gan,"Tang Wei, Sylvia Chang, Vivien Li, Huang Jue, Chen Yongzhong, Lee Hong-Chi, Luo Feiyang","Luo Hongwu regresa a Kaili, su ciudad natal, de la que huyó hace varios años. Comienza la búsqueda de la mujer que amaba, y a quien nunca ha podido olvidar. Ella dijo que su nombre era Wan Quiwen. (FILMAFFINITY)",https://www.filmaffinity.com/es/film997700.html
Divinas,Divines,2016,105,Drama,Francia,"6,6",2.409,Houda Benyamina,"Oulaya Amamra, Déborah Lukumuena, Kevin Mishel, Jisca Kalvanda, Yasin Houicha, Majdouline Idrissi, Bass Dhem, Farid Larbi","Dos amigas adolescentes de los suburbios de París, ambas muy espabiladas, están decididas a hacerse ricas o morir en el intento. Su plan es seguir los pasos de una famosa traficante de drogas del barrio, un lugar marcado por el narcotráfico y el islamismo. Dounia tiene sed de poder y de éxito. Ayudada por Maimuna, su mejor amiga, decide así seguir los pasos de Rebecca, una mujer respetada incluso a pesar de dedicarse a traficar. Pero su encuentro con Djigui, un joven bailarín, abrirá la posibilidad de atisbar un nuevo tipo de vida en su futuro. (FILMAFFINITY)",https://www.filmaffinity.com/es/film672173.html
Mala hierba,Mauvaises herbes,2018,100,"Comedia, Drama",Francia,"6,6",2.592,Kheiron,"Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouf Wague, Ouassima Zrouki",Un estafador de poca monta con un pasado difícil que opera con su madre adoptiva se hace cargo de un grupo de estudiantes problemáticos que lo cambiarán todo.,https://www.filmaffinity.com/es/film411125.html
Quién te cantará,Quién te cantará,2018,125,"Drama, Intriga",España,"6,6",10.130,Carlos Vermut,"Najwa Nimri, Eva Llorach, Carme Elías, Natalia de Molina, Julián Villagrán, Vicenta N'Dongo, Inma Cuevas, Ignacio Mateos","Lila Cassen (Najwa Nimri) era la cantante española con más éxito de los noventa hasta que desapareció misteriosamente de un día para otro. Diez años después, Lila prepara su triunfal vuelta a los escenarios pero, poco antes de la esperada fecha, pierde la memoria al sufrir un accidente. Violeta (Eva Llorach) vive dominada por su conflictiva hija Marta (Natalia de Molina). Cada noche escapa de su realidad haciendo lo único que la hace feliz: imitar a Lila Cassen en el karaoke donde trabaja. Un día Violeta recibe una fascinante propuesta: enseñar a Lila Cassen a volver a ser Lila Cassen. (FILMAFFINITY).",https://www.filmaffinity.com/es/film978147.html
Misión imposible: Fallout,Mission: Impossible - Fallout,2018,147,"Thriller, Acción",Estados Unidos,"6,6",20.119,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Henry Cavill, Simon Pegg, Ving Rhames, Vanessa Kirby, Michelle Monaghan, Alec Baldwin","Sexta entrega de la saga. En esta ocasión presenta a Ethan Hunt (Tom Cruise) y su equipo IMF (Alec Baldwin, Simon Pegg, Ving Rhames), con algunos aliados conocidos (Rebecca Ferguson, Michelle Monaghan), en una lucha contrarreloj después de que una misión salga mal. (FILMAFFINITY)",https://www.filmaffinity.com/es/film286514.html
Mula,The Mule,2018,116,Drama,Estados Unidos,"6,6",27.462,Clint Eastwood,"Clint Eastwood, Bradley Cooper, Dianne Wiest, Michael Peña, Taissa Farmiga, Laurence Fishburne, Ignacio Serricchio, Alison Eastwood","A Earl Stone (Eastwood), un octogenario que está en quiebra, solo, y que se enfrenta a la ejecución hipotecaria de su negocio, se le ofrece un trabajo aparentemente facil: sólo requiere conducir. Pero, sin saberlo, Earl se convirte en traficante de drogas para un cártel mexicano, y pasa a estar bajo el radar del agente de la DEA Colin Bates (Cooper).",https://www.filmaffinity.com/es/film817075.html
La casa lobo,La casa lobo,2018,75,"Animación, Terror",Chile,"6,6",1.033,"Joaquín Cociña, Cristóbal León","Amalia Kassai, Rainer Krause","María es una joven que se refugia en una casa tras escapar de una secta religiosa alemana en Chile. Como si estuviera en un sueño, la casa reacciona a los sentimientos de María y hace que su estancia sea una pesadilla. (FILMAFFINITY)",https://www.filmaffinity.com/es/film466488.html
To Leslie,To Leslie,2022,119,Drama,Estados Unidos,"6,6",1.229,Michael Morris,"Andrea Riseborough, Marc Maron, Stephen Root, Allison Janney, James Landry Hébert, Matt Lauria, Owen Teague, Andre Royo","Basada en hechos reales, cuenta la historia de Leslie, una madre soltera del oeste de Texas, que hace seis años ganó la lotería pero rápidamente despilfarró el premio, gastándolo todo en fiestas y alcohol. Desahuciada, acude a su hijo en un intento de recuperar el rumbo de su vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film925993.html
Seis días corrientes,Sis dies corrents,2021,85,Comedia,España,"6,6",1.888,Neus Ballús,"Valero Escolar, Mohamed Mellali, Pep Sarrà, Paqui Becerra, Pau Ferran","Relata una semana en la vida de Valero, Moha y Pep, trabajadores de una pequeña empresa de fontanería y electricidad de las afueras de Barcelona. Formada por seis capítulos que narran las situaciones que surgen cuando los protagonistas se enfrentan a una reparación. Cada capítulo corresponde a un día de su semana laboral y se construye alrededor de la relación que se establece entre los protagonistas y los clientes que han solicitado sus servicios. (FILMAFFINITY)",https://www.filmaffinity.com/es/film465767.html
El profesor de persa,Persischstunden (Persian Lessons),2020,127,Drama,Rusia,"6,6",2.159,Vadim Perelman,"Nahuel Pérez Biscayart, Lars Eidinger, Leonie Benesch, Jonas Nay, David Schütter, Luisa-Céline Gaffron, Alexander Beyer, Giuseppe Schillaci","Francia, 1942. Gilles es arrestado por soldados de las SS junto con otros judíos y enviado a un campo de concentración en Alemania. Allí consigue evitar la ejecución al jurar a los guardias que no es judío, sino persa. Gracias a esta artimaña, Gilles consigue mantenerse con vida, pero tendrá que enseñar un idioma que no conoce a uno de los oficiales del campo, interesado en aprenderlo. Al tiempo que la relación entre ellos aumenta, las sospechas de los soldados van en incremento.",https://www.filmaffinity.com/es/film603499.html
"Ahora sí, antes no","Right Now, Wrong Then (Ji-geum-eun-mat-go-geu-ddae-neun-teul-li-da)",2015,121,"Drama, Romance",Corea del Sur,"6,6",2.302,Hong Sang-soo,"Jung Jae-young, Kim Min-hee, Youn Yuh-jung, Ki Joo-bong, Choi Hwa-Jeong, Yoo Joon-sang, Seo Young-hwa, Ko Ah-sung","Un director de cine independiente está de visita en la ciudad de Sueño, donde se proyecta una película suya, y dando un paseo en un palacio se encuentra con una joven pintora. A partir de ese instante, las cosas empezarán a cambiar. (FILMAFFINITY)",https://www.filmaffinity.com/es/film298777.html
Compartimento Nº 6,Hytti nro 6,2021,107,"Drama, Romance",Finlandia,"6,6",2.580,Juho Kuosmanen,"Seidi Haarla, Yuriy Borisov, Dinara Drukarova, Vladimir Lysenko, Galina Petrova, Dmitriy Belenikhin, Yuliya Aug, Tomi Alatalo","Una joven universitaria finlandesa toma un tren hacia Moscú para ir al yacimiento arqueológico de Múrmansk. Allí tendrá que compartir su compartimento con un desconocido, un minero ruso. Esta convivencia y unos encuentros improbables unirán poco a poco a estos dos seres completamente opuestos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film147468.html
La buena mentira,The Good Lie,2014,110,Drama,Estados Unidos,"6,6",2.926,Philippe Falardeau,"Reese Witherspoon, Corey Stoll, Sarah Baker, Sope Aluko, Sharon Morris, Mike Pniewski, Arnold Oceng, Clifton Guterman","Un refugiado de la guerra civil sudanesa convive en los Estados Unidos con otros jóvenes sudaneses. Tras su llegada a América, ellos conocen a Carrie (Reese Witherspoon), una trabajadora social que, consciente de su tragedia, trata de enseñarles cómo deben desenvolverse en un mundo tan distinto al suyo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film440814.html
Expediente 64 (Los casos del Departamento Q),Journal 64,2018,100,"Thriller, Intriga",Dinamarca,"6,6",3.269,Christoffer Boe,"Nikolaj Lie Kaas, Fares Fares, Nicolas Bro, Anders Hove, Søren Pilmark, Morten Bjørn, Elliott Crosset Hove, Diêm Camille G.","La historia arranca con un descubrimiento: tras una pared falsa, se hallan tres cadáveres momificados alrededor de una mesa, y junto a un asiento libre. El detective Carl Mørck y su asistente Assad seguirán las pistas hasta una institución donde tenían lugar experimentos médicos. Allí, intentarán descubrir quién debía ocupar el cuarto asiento, en este nuevo caso del Departamento Q.",https://www.filmaffinity.com/es/film223540.html
Las nadadoras,The Swimmers,2022,134,Drama,Reino Unido,"6,6",3.293,Sally El Hosaini,"Manal Issa, Nathalie Issa, Matthias Schweighöfer, Ali Suliman, James Floyd, Elmi Rashid Elmi, Ahmed Malek, Alfredo Tavares",Una historia del viaje milagroso realizado por las hermanas nadadoras Yusra y Sarah Mardini que huyeron como refugiadas de la Siria devastada por la guerra para vivir una nueva vida en Europa y la oportunidad de competir en los Juegos Olímpicos de Río de 2016. (FILMAFFINITY),https://www.filmaffinity.com/es/film780076.html
El olvido que seremos,El olvido que seremos,2020,132,Drama,Colombia,"6,6",4.785,Fernando Trueba,"Javier Cámara, Patricia Tamayo, Juan Pablo Urrego, Nicolás Reyes Cano, Aída Morales, Sebastián Giraldo, Whit Stillman, María Tereza Barreto","Narra de manera íntima la historia de un hombre bueno, el médico colombiano Héctor Abad Gómez, carismático líder social y hombre de familia, un destacado médico y activista por los derechos humanos en el Medellín polarizado y violento de los años 70. La trama relata la vida del doctor y padre de familia, preocupado tanto por sus hijos como por los niños de clases menos favorecidas. En su casa se respiraba la vitalidad y la creatividad características de una educación fundamentada en la tolerancia y el amor, pero la violencia ambiental del país condicionaba la vida de todo su entorno.",https://www.filmaffinity.com/es/film784420.html
Espías desde el cielo,Eye in the Sky,2015,102,"Thriller, Drama",Reino Unido,"6,6",11.302,Gavin Hood,"Helen Mirren, Alan Rickman, Aaron Paul, Barkhad Abdi, Iain Glen, Phoebe Fox, Carl Beukes, Richard McCabe","La coronel Katherine Powell (Helen Mirren), una oficial de la inteligencia militar británica, lidera una operación secreta para capturar a un grupo de terroristas en Nairobi, Kenia. Cuando se da cuenta que los terroristas están en una misión suicida, ella debe cambiar sus planes de 'capturar' por 'matar'. El piloto estadounidense de drones Steve Watts (Aaron Paul) recibe la orden de destruir el refugio donde se hallan los terroristas, pero una niña de nueve años ingresa en la zona, donde podría ser una víctima más. (FILMAFFINITY)",https://www.filmaffinity.com/es/film269092.html
Brooklyn,Brooklyn,2015,111,"Drama, Romance",Irlanda,"6,6",13.172,John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Julie Walters, Jim Broadbent, Jessica Paré, Eva Birthistle, Michael Zegen","En los años 50, la joven irlandesa Eilis Lacey decide abandonar Irlanda y viajar a los Estados Unidos, concretamente a Nueva York, donde conoce a Tony, un chico italiano con el que comienza a salir y del que se enamora. Pero, un día, a Eilis le llegan noticias de una triste noticia familiar y tendrá que decidir entre quedarse en su nuevo país o volver a su tierra natal. (FILMAFFINITY)",https://www.filmaffinity.com/es/film304902.html
Super Mario Bros: La película,The Super Mario Bros. Movie,2023,92,"Animación, Aventuras, Infantil, Fantástico, Comedia",Estados Unidos,"6,6",13.231,"Aaron Horvath, Michael Jelenic","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Seth Rogen, Fred Armisen","Mientras trabajan en una avería subterránea, los fontaneros de Brooklyn, Mario y su hermano Luigi, viajan por una misteriosa tubería hasta un nuevo mundo mágico. Pero, cuando los hermanos se separan, Mario deberá emprender una épica misión para encontrar a Luigi. Con la ayuda del champiñón local Toad y unas cuantas nociones de combate de la guerrera líder del Reino Champiñón, la princesa Peach, Mario descubre todo el poder que alberga en su interior. (FILMAFFINITY)",https://www.filmaffinity.com/es/film520586.html
Creed. La leyenda de Rocky,Creed,2015,132,Drama,Estados Unidos,"6,6",24.539,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Will Blagrove, J.P. Veizaga, Andre Ward, Tony Bellew","Adonis Johnson no llegó a conocer a su padre, el campeón del mundo de los pesos pesados Apollo Creed, que falleció antes de que él naciera. Sin embargo, nadie puede negar que lleva el boxeo en la sangre, por lo que pone rumbo a Philadelphia, el lugar en el que se celebró el legendario combate entre su padre y Rocky Balboa. Una vez allí, Adonis busca a Rocky y le pide que sea su entrenador. A pesar de que este insiste en que ya ha dejado ese mundo para siempre, Rocky ve en Adonis la fuerza y determinación que tenía su enconado rival, y que terminó por convertirse en su mejor amigo. Finalmente, acepta entrenarle a pesar de estar librando su propio combate contra un rival más letal que cualquiera a los que se enfrentó en el cuadrilátero. (FILMAFFINITY)",https://www.filmaffinity.com/es/film943315.html
No mires arriba,Don't Look Up,2021,138,"Comedia, Drama, Ciencia ficción",Estados Unidos,"6,6",42.973,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Jonah Hill, Rob Morgan, Mark Rylance, Tyler Perry","Kate Dibiasky (Jennifer Lawrence), estudiante de posgrado de Astronomía, y su profesor, el doctor Randall Mindy (Leonardo DiCaprio) hacen un descubrimiento tan asombros como terrorífico: un enorme cometa lleva un rumbo de colisión directa con la Tierra. El otro problema es... que a nadie le importa. Kate y Randall emprenden una gira mediática advertir a la humanidad que los lleva desde la indiferente presidenta Orlean (Meryl Streep) y su hijo y jefe de gabinete, Jason (Jonah Hill), a la emisión de 'The Daily Rip', un animado programa matinal presentado por Brie (Cate Blanchett) y Jack (Tyler Perry). Solo quedan seis meses para el impacto del cometa, pero gestionar el flujo de noticias y ganarse la atención de un público obsesionado con las redes sociales antes de que sea demasiado tarde resulta sorprendentemente cómico. ¿Pero qué es lo que hay que hacer para que el mundo mire hacia arriba?",https://www.filmaffinity.com/es/film521393.html
Múltiple,Split,2016,116,"Thriller, Intriga",Estados Unidos,"6,6",45.708,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Brad William Henke, Haley Lu Richardson, Sebastian Arcelus, Lyne Renee, Neal Huff","A pesar de que Kevin (James McAvoy) le ha demostrado a su psiquiatra de confianza, la Dra. Fletcher (Betty Buckley), que posee 23 personalidades diferentes, aún queda una por emerger, decidida a dominar a todas las demás. Obligado a raptar a tres chicas adolescentes encabezadas por la decidida y observadora Casey (Anya Taylor-Joy), Kevin lucha por sobrevivir contra todas sus personalidades y la gente que le rodea, a medida que las paredes de sus compartimentos mentales se derrumban. (FILMAFFINITY)",https://www.filmaffinity.com/es/film992586.html
La comunidad de los corazones rotos,Asphalte,2015,100,"Comedia, Drama",Francia,"6,6",1.111,Samuel Benchetrit,"Isabelle Huppert, Gustave Kervern, Michael Pitt, Valeria Bruni Tedeschi, Jules Benchetrit, Tassadit Mandi","Determinados encuentros improbables traen ternura, risas y compasión a un mundo de alienación urbana. (FILMAFFINITY)",https://www.filmaffinity.com/es/film653628.html
O los tres o ninguno,Nous trois ou rien,2015,97,"Comedia, Drama",Francia,"6,6",1.720,Kheiron,"Kheiron, Leïla Bekhti, Gérard Darmon, Zabou Breitman, Alexandre Astier, Kyan Khojandi, Arsène Mosca, Jonathan Cohen","Historia sobre el pequeño Kheiron, sus padres, Hibat y Fereshteh, dos personas de un optimismo irreductible, y sobre el viaje que emprendieron años atrás desde una pequeña población al sur de Irán hasta París. (FILMAFFINITY)",https://www.filmaffinity.com/es/film755494.html
A Esmorga,A Esmorga,2014,107,Drama,España,"6,6",2.848,Ignacio Vilar,"Karra Elejalde, Ledicia Sola, Miguel de Lira, Antonio Durán, Sabela Arán, Monti Castiñeiras, Mela Casal, Santi Prego","Crónica tensa e intensa de 24 horas en la vida de tres compañeros de juerga que van dejando un reguero de destrucción, de sexo equívoco y reprimido, y también cerrando puertas tras tirar las llaves, como si de manera deliberada buscaran la perdición. (FILMAFFINITY)",https://www.filmaffinity.com/es/film579014.html
Tigre blanco,The White Tiger,2021,131,"Drama, Comedia",India,"6,6",5.883,Ramin Bahrani,"Adarsh Gourav, Priyanka Chopra, Rajkummar Rao, Perrie Kapernaros, Abhishek Khandekar, Nalneesh Neel, Aaron Wan, Vedant Sinha","Balram Halwai (Gourav) narra su ascenso épico y cargado de humor oscuro de aldeano pobre a empresario exitoso en la India moderna. Astuto y ambicioso, Balram se abre camino para convertirse en chófer de Ashok (Rao) y Pinky (Chopra Jonas), que acaban de regresar de Estados Unidos. La sociedad ha entrenado a Balram para ser una sola cosa, un sirviente, por lo que se vuelve indispensable para sus ricos amos. Pero una noche todo cambia.",https://www.filmaffinity.com/es/film523672.html
Pearl,Pearl,2022,101,Terror,Estados Unidos,"6,6",5.899,Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland, Todd Rippon, Emma Jenkins-Purro, Amelia Reid, Alistair Sewell","Atrapada en la granja aislada de su familia, Pearl debe atender a su padre enfermo bajo la amarga y dominante vigilancia de su devota madre, deseando una vida glamurosa como la que ha visto en las películas. Precuela de 'X' (2022) centrada en los orígenes del personaje de Pearl (Mia Goth). (FILMAFFINITY)",https://www.filmaffinity.com/es/film104117.html
Juegos sucios,Cheap Thrills,2013,83,Thriller,Estados Unidos,"6,6",6.128,E.L. Katz,"Pat Healy, Ethan Embry, Sara Paxton, David Koechner, Amanda Fuller, Brighton Sharbino","Craig, un padre de familia en plena crisis económica, ahoga sus penas en un bar cuando un desconocido le propone un trato: le dará cierta cantidad de dinero si va cumpliendo una serie de acciones, a cada cual más extraña y violenta. Lo que comienza como un  juego terminará en delirio. (FILMAFFINITY)",https://www.filmaffinity.com/es/film859400.html
Hostiles,Hostiles,2017,133,"Western, Drama",Estados Unidos,"6,6",6.424,Scott Cooper,"Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons, Rory Cochrane, Adam Beach, Ben Foster, Timothée Chalamet","En 1892, un reputado capitán del ejército, Joseph J. Blocker (Christian Bale), se ve en la obligación de escoltar contra su voluntad a un moribundo jefe cheyenne (Wes Studi) y a su familia, de regreso a las tierras de su tribu en Montana. Para ello tendrán que emprender un peligroso viaje por las praderas de Nuevo México, donde se encontrarán con una joven viuda (Rosamund Pike) cuya familia fue asesinada por un grupo de comanches que aún rondan por la zona. Juntos tendrán que unir fuerzas para sobrevivir al castigador paisaje y a las hostiles tribus comanche que se encuentran por el camino. (FILMAFFINITY)",https://www.filmaffinity.com/es/film794926.html
Un día perfecto,A Perfect Day,2015,106,Drama,España,"6,6",16.238,Fernando León de Aranoa,"Tim Robbins, Benicio del Toro, Olga Kurylenko, Mélanie Thierry, Fedja Stukan, Eldar Residovic, Sergi López","En una zona en guerra, en la que los cascos de las Naciones Unidas tratan de controlar la situación, varios personajes viven sus propios conflictos; Sophie (Mélanie Thierry) quiere ayudar a la gente, Mambrú (Benicio del Toro) quiere volver a casa, y Katya (Olga Kurylenko) quiso una vez a Mambrú. Por su parte Damir (Fedja Stukan) quiere que la guerra termine, Nikola (Eldar Residovic) quiere un balón de fútbol, y B (Tim Robbins) no sabe lo que quiere. Un grupo de cooperantes trata de sacar un cadáver de un pozo en una zona de conflicto. Alguien lo ha tirado dentro para corromper el agua y dejar sin abastecimiento a las poblaciones cercanas. Pero la tarea más simple se convierte aquí en una misión imposible, en la que el verdadero enemigo quizá sea la irracionalidad. Los cooperantes recorren el delirante paisaje bélico tratando de resolver la situación, como cobayas en un laberinto. (FILMAFFINITY)",https://www.filmaffinity.com/es/film577820.html
Un monstruo viene a verme,Un monstruo viene a verme (A Monster Calls),2016,100,"Fantástico, Drama",España,"6,6",37.951,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Geraldine Chaplin, James Melville, Garry Marriott","Tras la separación de sus padres, Connor (Lewis MacDougall), un chico de 12 años, tendrá que ocuparse de llevar las riendas de la casa, pues su madre (Felicity Jones) está enferma de cáncer. Así las cosas, el niño intentará superar sus miedos y fobias con la ayuda de un monstruo (Liam Neeson), pero sus fantasías tendrán que enfrentarse no sólo con la realidad, sino con su fría y calculadora abuela (Sigourney Weaver). Con este nuevo trabajo J.A. Bayona cierra su trilogía sobre las relaciones maternofiliales, que inició con ""El orfanato"" y continuó con ""Lo imposible"". (FILMAFFINITY)",https://www.filmaffinity.com/es/film269350.html
Big Fish & Begonia,Da Hai (Big Fish & Begonia),2016,104,"Animación, Fantástico, Drama, Aventuras",China,"6,6",1.881,"Liang Xuan, Zhang Chun",,"En un universo más allá del nuestro, Chun celebra su decimosexto aniversario cumpliendo una tradición milenaria y transformándose en un delfín rojo para explorar el mundo humano. (FILMAFFINITY)",https://www.filmaffinity.com/es/film952739.html
Forgotten,Gi-eok-ui Bam,2017,108,"Thriller, Intriga, Drama",Corea del Sur,"6,6",4.072,Jang Hang-jun,"Kang Ha-neul, Kim Mu-yeol, Moon Sung-keun, Na Young-hee, Lee Eun-woo, Jung Taek-hyun, Lee Soon-won","Jin-seok intenta descubrir la verdad sobre el secuestro de su hermano Yoo-seok, que ha vuelto convertido en un hombre distinto y no recuerda sus diecinueve días de cautiverio. (FILMAFFINITY)",https://www.filmaffinity.com/es/film470210.html
Al otro lado de la ley,Dragged Across Concrete,2018,159,"Thriller, Drama",Estados Unidos,"6,6",6.171,S. Craig Zahler,"Mel Gibson, Vince Vaughn, Tory Kittles, Laurie Holden, Jennifer Carpenter, Don Johnson, Michael Jai White, Udo Kier","Dos policías, un veterano del cuerpo (Gibson) y su joven compañero (Vaughn), son suspendidos cuando un vídeo de sus duras tácticas de detención de delincuentes se convierte en la noticia del día en los medios de comunicación. Ambos con problemas personales que podrían solucionarse con dinero, deciden aprovechar su condición de civiles para hacer algo al margen de la ley.",https://www.filmaffinity.com/es/film438253.html
Climax,Climax,2018,95,"Thriller, Drama",Francia,"6,6",9.778,Gaspar Noé,"Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile, Claude Gajan Maull, Giselle Palmer, Taylor Kastle, Thea Carla Schott",Jóvenes bailarines toman accidentalmente LSD mezclado con sangría y así su exultante ensayo se convierte en una pesadilla cuando uno a uno sienten las consecuencias de una crisis psicodélica colectiva. (FILMAFFINITY),https://www.filmaffinity.com/es/film509136.html
La odisea de los giles,La odisea de los giles,2019,116,"Comedia, Drama",Argentina,"6,6",10.766,Sebastián Borensztein,"Ricardo Darín, Luis Brandoni, Chino Darín, Verónica Llinás, Daniel Aráoz, Carlos Belloso, Rita Cortese, Andrés Parra","Provincia de Buenos Aires, fines del 2001. Un grupo de amigos y vecinos pierde el dinero que había logrado reunir para reflotar una vieja cooperativa agrícola. Al poco tiempo, descubren que sus ahorros se perdieron por una estafa realizada por un inescrupuloso abogado y un gerente de banco que contaban con información de lo que se iba a desencadenar en el país. Al enterarse de lo sucedido, este grupo de vecinos decide organizarse y armar un minucioso plan con el objetivo de recuperar lo que les pertenece. (FILMAFFINITY)",https://www.filmaffinity.com/es/film988821.html
El hijo de Saúl,Saul fia (Son of Saul),2015,107,Drama,Hungría,"6,6",12.282,László Nemes,"Géza Röhrig, Levente Molnár, Urs Rechn, Sándor Zsótér, Todd Charmont, Björn Freiberg, Uwe Lauer, Attila Fritz","En el año 1944, durante el horror del campo de concentración de Auschwitz, un prisionero judío húngaro llamado Saul, miembro de los 'Sonderkommando' -encargados de quemar los cadáveres de los prisioneros gaseados nada más llegar al campo y limpiar las cámaras de gas-, encuentra cierta supervivencia moral tratando de salvar de los hornos crematorios el cuerpo de un niño que toma como su hijo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film697248.html
Raya y el último dragón,Raya and the Last Dragon,2021,114,"Animación, Fantástico, Aventuras, Acción",Estados Unidos,"6,6",12.815,"Don Hall, Carlos López Estrada, Paul Briggs",,"En el fantástico mundo de Kumandra, humanos y dragones vivieron juntos hace mucho tiempo en perfecta armonía. Pero cuando unas fuerzas del mal amenazaron el territorio, los dragones se sacrificaron para salvar a la humanidad. Ahora, 500 años después, esas mismas fuerzas malignas han regresado y Raya, una guerrera solitaria, tendrá que encontrar al último y legendario dragón para reconstruir un mundo destruido y volver a unir a su pueblo.",https://www.filmaffinity.com/es/film145565.html
El médico,Der Medicus (The Physician),2013,150,"Aventuras, Drama",Alemania,"6,6",18.635,Philipp Stölzl,"Tom Payne, Stellan Skarsgård, Olivier Martínez, Emma Rigby, Ben Kingsley, Michael Jibson, Elyas M'Barek, Makram Khoury","Adaptación de la novela histórica homónima de Noah Gordon que se convirtió en un best-seller en 1986. Ambientada en Inglaterra, en el siglo XI, narra la historia de Rob Cole (Tom Payne), un joven que se queda huérfano al morir su madre víctima de una extraña enfermedad. Esta circunstancia lo anima a irse a Persia a estudiar medicina  bajo la tutela del sabio doctor Ibn Sina (Ben Kingsley). (FILMAFFINITY)",https://www.filmaffinity.com/es/film356759.html
